Lat;Lon;h;Time;RHO;THETA;FL;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;BAR;IVV;TN;STAT
41,55559924;1,50069296;11581,92363;63,1797;31,796875;299,586182;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;102,65625;269;32;-64;1340;No alert, no SPI, aircraft airbone
41,55269379;1,51321916;11581,94448;67,1797;31,230469;299,816895;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;101,777344;269;64;-96;1340;No alert, no SPI, aircraft airbone
41,5498697;1,52572944;11581,96488;71,1719;30,667969;300,064087;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,898438;269;192;-96;1340;No alert, no SPI, aircraft airbone
41,54695658;1,53809572;11581,98455;75,1719;30,109375;300,305786;380;ELY028;1013;-5,449;107,227;526;-0,188;480;100,019531;269;64;-96;1340;No alert, no SPI, aircraft airbone
41,54408389;1,55051943;11582,00389;79,1719;29,550781;300,563965;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;269;128;-64;1340;No alert, no SPI, aircraft airbone
41,54128511;1,56290297;11574,40276;83,1797;28,996094;300,838623;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,140625;268;0;-64;1340;No alert, no SPI, aircraft airbone
41,53842734;1,57529421;11574,42117;87,1797;28,441406;301,118774;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;268;-32;0;1340;No alert, no SPI, aircraft airbone
41,53573311;1,5876415;11574,43915;91,1875;27,894531;301,426392;379,75;ELY028;1013;0,352;106,523;524;0;476;99,316406;267;64;0;1340;No alert, no SPI, aircraft airbone
41,53297764;1,60007955;11574,4568;95,1875;27,34375;301,744995;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;-96;0;1340;No alert, no SPI, aircraft airbone
41,53033081;1,61243638;11574,47393;99,1953;26,800781;302,085571;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;96;0;1340;No alert, no SPI, aircraft airbone
41,52757378;1,62484863;11574,49064;103,2031;26,253906;302,431641;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;64;0;1340;No alert, no SPI, aircraft airbone
41,52479888;1,63721144;11582,12683;107,2031;25,710938;302,788696;380;ELY028;1013;-0,176;106,699;524;0;478;99,492188;268;0;0;1340;No alert, no SPI, aircraft airbone
41,52209536;1,64952041;11574,52254;111,2109;25,171875;303,167725;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;0;0;1340;No alert, no SPI, aircraft airbone
41,51935695;1,661877;11574,53786;115,2188;24,632812;303,563232;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;0;32;1340;No alert, no SPI, aircraft airbone
41,51665315;1,67421065;11574,55272;119,2188;24,097656;303,980713;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;96;0;1340;No alert, no SPI, aircraft airbone
41,51387662;1,68653723;11574,5671;123,2266;23,5625;304,40918;379,75;ELY028;1013;0;106,523;522;0;478;99,492188;268;-64;0;1340;No alert, no SPI, aircraft airbone
41,5111477;1,69885989;11574,58106;127,2266;23,03125;304,865112;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;32;32;1340;No alert, no SPI, aircraft airbone
41,5084712;1,71122139;11582,21464;131,2344;22,503906;305,354004;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;268;0;32;1340;No alert, no SPI, aircraft airbone
41,50580043;1,72351997;11582,22772;135,2422;21,980469;305,864868;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;268;0;0;1340;No alert, no SPI, aircraft airbone
41,50302214;1,73579406;11582,24028;139,25;21,457031;306,386719;380;ELY028;1013;0,176;106,523;522;0;478;99,667969;268;32;0;1340;No alert, no SPI, aircraft airbone
41,50027392;1,74806886;11582,25242;143,2578;20,9375;306,941528;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;268;0;-32;1340;No alert, no SPI, aircraft airbone
41,4975662;1,76036252;11582,26416;147,2812;20,421875;307,53479;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;268;-128;-32;1340;No alert, no SPI, aircraft airbone
41,49476856;1,77266481;11582,27544;151,2734;19,90625;308,150024;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;268;-96;0;1340;No alert, no SPI, aircraft airbone
41,49195877;1,7849465;11582,28625;155,2812;19,394531;308,798218;380;ELY028;1013;-0,352;106,699;522;0;478;99,667969;267;128;-32;1340;No alert, no SPI, aircraft airbone
41,4891889;1,79727204;11582,29668;159,2891;18,886719;309,49585;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;267;128;-32;1340;No alert, no SPI, aircraft airbone
41,48643922;1,80951278;11582,30661;163,2969;18,386719;310,231934;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;267;-64;-32;1340;No alert, no SPI, aircraft airbone
41,4836254;1,8218243;11582,31614;167,3047;17,886719;311,011963;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;267;-64;-64;1340;No alert, no SPI, aircraft airbone
41,48083781;1,83407865;11582,32519;171,3203;17,394531;311,841431;380;ELY028;1013;0;106,699;520;0;478;99,667969;267;-128;-32;1340;No alert, no SPI, aircraft airbone
41,47808452;1,84637516;11574,71386;175,3281;16,90625;312,736816;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;267;32;-64;1340;No alert, no SPI, aircraft airbone
41,47539716;1,85861551;11574,72207;179,3359;16,429688;313,69812;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;267;-160;0;1340;No alert, no SPI, aircraft airbone
41,47262236;1,87096265;11574,72988;183,3516;15,953125;314,725342;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;267;64;0;1340;No alert, no SPI, aircraft airbone
41,46989631;1,88322007;11574,73722;187,3672;15,488281;315,823975;379,75;ELY028;1013;0;106,875;520;0,031;476;99,84375;267;32;0;1340;No alert, no SPI, aircraft airbone
41,46710628;1,89552543;11574,74413;191,3828;15,027344;316,999512;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;267;32;32;1340;No alert, no SPI, aircraft airbone
41,46434417;1,90782076;11582,3706;195,3984;14,578125;318,268433;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;266;256;32;1340;No alert, no SPI, aircraft airbone
41,46151493;1,92015475;11582,37663;199,4141;14,132812;319,630737;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;266;-96;32;1340;No alert, no SPI, aircraft airbone
41,45877494;1,93242477;11582,38222;203,4297;13,703125;321,108398;380;ELY028;1013;-0,352;106,699;520;-0,031;474;99,84375;264;224;-32;1340;No alert, no SPI, aircraft airbone
41,45601786;1,94480825;11582,38742;207,4453;13,28125;322,723389;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,019531;264;0;-32;1340;No alert, no SPI, aircraft airbone
41,45323959;1,95719206;11582,39217;211,4688;12,871094;324,470215;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;265;288;-32;1340;No alert, no SPI, aircraft airbone
41,4505108;1,96949782;11574,77646;215,4844;12,476562;326,359863;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;265;-160;-32;1340;No alert, no SPI, aircraft airbone
41,44774411;1,98189687;11582,40033;219,5078;12,097656;328,425293;380;ELY028;1013;0,352;106,875;524;0,031;476;100,371094;266;128;0;1340;No alert, no SPI, aircraft airbone
41,4449699;1,99422849;11582,40373;223,5312;11,734375;330,655518;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;267;160;0;1340;No alert, no SPI, aircraft airbone
41,44222866;2,00679293;11582,40677;227,5703;11,386719;333,143921;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;266;32;0;1340;No alert, no SPI, aircraft airbone
41,43941727;2,01922661;11582,40929;231,6016;11,058594;335,808105;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;268;-64;0;1340;No alert, no SPI, aircraft airbone
41,43668513;2,03182533;11582,41143;235,6328;10,753906;338,763428;380;ELY028;1013;0;106,875;526;0;480;100,371094;268;-224;-32;1340;No alert, no SPI, aircraft airbone
41,4339112;2,0443663;11582,41308;239,6719;10,472656;341,949463;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;268;32;-32;1340;No alert, no SPI, aircraft airbone
41,43102337;2,05666339;11582,41421;243,7031;10,214844;345,311279;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;268;128;-64;1340;No alert, no SPI, aircraft airbone
41,4281699;2,06919499;11582,41493;247,75;9,984375;349,019165;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;269;288;-32;1340;No alert, no SPI, aircraft airbone
41,4253333;2,08171532;11582,41521;251,7969;9,785156;352,996216;380;ELY028;1013;-0,352;107,051;526;-0,031;480;100,195312;268;-160;-64;1340;No alert, no SPI, aircraft airbone
41,42245027;2,09431403;11574,79502;255,8438;9,613281;357,258911;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;269;-192;-32;1340;No alert, no SPI, aircraft airbone
41,41961184;2,10689105;11574,79438;259,8984;9,480469;1,752319;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;270;-32;-32;1340;No alert, no SPI, aircraft airbone
41,41684374;2,11951299;11574,7933;263,9453;9,386719;6,454468;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;270;64;-96;1340;No alert, no SPI, aircraft airbone
41,41382041;2,13253311;11582,41165;268,0078;9,324219;11,464233;380;ELY028;1013;0,176;106,875;526;0,031;484;100,195312;269;192;-64;1340;No alert, no SPI, aircraft airbone
41,41091071;2,14518455;11582,40959;272,0547;9,300781;16,413574;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;267;-64;-64;1340;No alert, no SPI, aircraft airbone
41,40811469;2,15717814;11582,4072;276,1094;9,3125;21,121216;380;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;269;32;-32;1340;No alert, no SPI, aircraft airbone
41,40526731;2,16954295;11574,78431;280,1641;9,359375;25,911255;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,019531;268;-160;-96;1340;No alert, no SPI, aircraft airbone
41,40236038;2,18183136;11574,78098;284,2188;9,441406;30,569458;379,75;ELY028;1013;-1,23;107,227;524;-0,031;476;99,667969;267;-96;-32;1340;No alert, no SPI, aircraft airbone
41,39953797;2,193974;11574,77727;288,2656;9,558594;34,991455;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;267;160;32;1340;No alert, no SPI, aircraft airbone
41,39668064;2,20628594;11574,77308;292,3125;9,710938;39,259644;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;266;0;64;1340;No alert, no SPI, aircraft airbone
41,39395216;2,21854587;11574,76849;296,3594;9,898438;43,231201;379,75;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;0;96;1340;No alert, no SPI, aircraft airbone
